Name,In Charge,Industry,Type,Tech,PM,Keep Confidential,confidential title,Country,Ref or website,SA,Member,Files,Summary EN,Summary CN,"Challenges, solutions and results EN","Challenges, solutions and results CN",Kickoff Date,On 4idps Website
Smartmatic,Frans,Software,Team augmentation,"C++, CMake, GTK, Linux, libusb",Frans Oilinki,Corrado check,,"Brazil, Panama, Taiwan, Venezuela",https://www.smartmatic.com,,,,"A major international voting machine manufacturing and service company was bidding for a big voting machine project in South America. To help with the effort, the company turned to 4iDPS to provide full-time members for the project. The development consultant candidates for the customer had to go through a strict evaluation, including coding test. 4iDPS provided help to work on the main voting application and test tooling (hardware true random number generator testing and validation).","Smartmatic是一家大型國際性的投票系統製造商，並且正在競標南美州一個大型投票機項目。公司委託我們為該專案提供全職成員，並且開發的顧問人員必須經過嚴格的評估，包括編碼測試。
我們在此專案上主要協助開發投票的應用程序和測試工具。","Challenges:
Tight schedule per externally imposed goal posts. The in-house software team from Panama was planning to stay extended periods in Taiwan where the hardware development was centered; as the COVID19 pandemic hit the global human society in the middle of the project, it seemed questionable to fly all the company people back to Taiwan from their Christmas and New Year vacation as it looked like Taiwan was a danger zone due to its close proximity and tight ties with China. The regulation regarding the software and hardware implementations were very demanding, sometimes crossing the limit of becoming counter-effective. 
Solutions:
The solution was to quickly gain an understanding of the development environment and software systems, working closely with the customer's in-house developers. Communication turned from face-to-face to virtual with minimized impact on effectiveness; on hardware- and system-related matters the people who stayed in Taiwan were also very knowledgeable and could provide much of the needed help. The regulations were encoded into the CI/CD systems of the customer and followed rigorously; additional suggestions to improve security and reliability by us were warmly welcomed (the Smartmatic company culture was very receptive to suggestions coming from competent development consultants).
Results: the client was very happy that we were able to jump on this project on short notice and were pleased with the people we assigned to this case.","Challenges 挑戰/ 主要問題:
來自巴拿馬的內部軟體團隊原本計劃在硬體開發中心的台灣長期停留；由於在專案期間遭遇疫情，因此將所有公司員工從聖誕節和新年假期派到台灣遇到挑戰。

Solution 解決方案/ 導入過程: 我們與客戶的內部開發人員密切合作，快速了解開發環境和軟體系統。在硬體和系統相關的問題上，我們也提供了很多的幫助。
最終程式被部署到客戶的 CI/CD 系統中並嚴格遵守，尤其客戶對於我們提高安全性和可靠性的其他建議也表示肯定。

Result 成效: 客戶很高興我們能夠在短時間內啟動這個專案，並且對於我們的開發顧問團隊非常的滿意。",,Yes
Starlux,Amos,"Airline, Travel","B2C, Salesforce, Website","Apex, Salesforce",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=3786&action=edit,Taiwan,https://ranktoto.com/,Amos Chuang,Alan Feng,,"Our client is an international airline company headquartered in Taipei. The purpose of the project was to develop new agency portal and integration with third party flight management system, to reduce working hours and improve operational efficiency.","客戶是一家總部位於台北的國際航空公司，專案內容包含
1.系統面與第三方飛航系統Amadeus整合，自動訂位、取票價、入名單、開票
2.開發一個Travel agency portal，追蹤Travel agency機票銷售狀況。","Challenge:
Our client needed to integrate its in-house system with that of the online and offline travel agencies, without manual input.
Solution:
1. The system was integrated with the third-party flight system Amadeus to complete functions such as automatic seat reservation, fare collection, tax collection, passenger list entry, and ticket issuance.
2. We developed a Travel agency portal to track the status of travel agency ticket sales
Result:
Reduced work time, improved KPI of the whole department, and improved management efficiency of the travel agencies","Challenges:
與旅行社溝通管道正式化，一方面營業部門面臨重工問題，作業時間繁雜冗長
Solution:
1.系統面與第三方飛航系統Amadeus整合，完成了自動化訂位、取票價、取稅金、入乘客名單、開票等功能
2.開發一個Travel agency portal，追蹤Travel agency機票銷售狀況
Result:
減少了作業時間、提升整體部門的KPI，且提升對旅行社的管理效率",,Yes
Style,Corrado,"Fashion&Beauty, Media & Entertainment","APP, B2C",,,No,,Singapore,https://twitter.com/stylemagsg,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_shot_2014-09-17_at_AM_10.43.27.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/1.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/2.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/3.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/4.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/5.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Cover.png","Our client is a leading Singapore publisher. The projects entailed publishing an interactive monthly issue, for both pad and phone size, of their leading women's magazine",客戶是一家新加坡雜誌出版商。專案需要為他們出版女性雜誌製作數位出版，並且需要適用於平板電腦和手機尺寸。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was extremely successful in the marketplace and enjoyed very high download rates. We had to keep increasing the bandwidth on Azure, as each time a new issue was out, tens of thousands of people would be waiting online to download it.","Challenges 挑戰/ 主要問題: 1. 月刊的頻率意味著設計師需要非常快地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們製作了2個版本的設計。
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上非常成功，下載率也非常高。我們必須持續放寬 Azure 的頻寬，因為每次發布新一期雜誌時，都會有上萬人在線等待下載",,Yes
Swissdent,Corrado,"B2B, B2C, E-commerce, Fashion&Beauty, Life Sciences & Healthcare","B2C, Website, eCommerce","Design, Membership system, Wix",Corrado von Planta,No,,"Indonesia, Switzerland, Taiwan",www.swissdent.ch,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_7.01.31_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.55.47_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.56.19_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.56.45_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.56.57_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.57.29_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.57.53_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.58.24_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_6.58.42_PM.png","Our client is a leading, international high-tech oral care brand from Switzerland. The goal was to create a stylish, fast and secure e-commerce website",Swissdent是來自瑞士的高科技口腔護理品牌。我們受委託為品牌創建一個時尚、快速且安全的電子商務網站。,"Challenge: the brand is both high-tech and stylish, requiring a good balance between professionalism and technology. In addition, the company works with resellers in various countries, so the website needed to be easily replicable by distributors for their own territory / language.
Solution: we chose a CMS which is easy to learn by newbies, thus allowing our client's partners to replicate the site and adapt it for their needs.
Result: the website has been online for many years and has not had one down day despite high volume. It has been highly successful in 5 languages and territories","Challenges 挑戰/ 主要問題: 該品牌需要同時保有科技且時尚的調性，需要在專業和技術之間取得良好的平衡。此外，該公司因為與不同國家的經銷商合作，因此該網站需要能被當地經銷商轉化為他們自己的地區/語言使用。

Solution 解決方案/ 導入過程: 我們選擇了新手易於使用的 CMS，讓我們客戶的合作夥伴可以複製該站點並根據他們的需要進行調整。

Result 成效: 該網站已上線多年，儘管網站訪問量很大，但上線至今仍很流暢的運作中，並且在 5 種不同語言和地區上線。",,Yes
The Affairs,Amos,Media & Entertainment,Salesforce,"Apex, Salesforce",Amos Chuang,No,,Taiwan,,Amos Chuang,,Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/The_Affairs.jpg,"Our client is a Taiwan Media & Entertainment company. The purpose of the project was to build a salesforce-based membership software, to manage site memberships in one place.",客戶是一家台灣傳媒娛樂公司。專案需要在在Salesforce上開發會員網站，及用會員管理後台。,"Challenge:
The company has various membership systems which aren't integrated
Solution:
A membership website has been developed in Salesforce. The functions include login, subscription, cash flow (connected to the accounting system), level, bonus, invitation, release, etc. The background system uses the native Salesforce interface
Result:
We created a complete membership system for the company, and they can now effectively manage members on Salesforce","Challenges:
企業缺乏了會員網站、會員管理後台等系統，無法有效管理會員
Solution:
在Salesforce開發了會員網站，功能包含登入、訂閱、金流(串接綠界)、等級、紅利、邀請、發布等等功能，後台系統使用原生地Salesforce介面
Result:
為企業打造了一個完善的會員系統，且能在Salesforce上有效管理會員",,Yes
TheBagBroker,Amos,"B2B, Food, Logistics, Retail","B2B, Website",,Amos Chuang,No,,"Australia, Germany, Taiwan, United Kingdom",,Amos Chuang,,,"Our client is a wholesaler of flexible packaging. The purpose of the project was to integrate Sales Cloud and customize supply chain management, as well as design the sales process from scratch.",我們的客戶是一家客製化包裝的批發商。需要在Salesforce上導入業務管理、SCM模組、成本模組。,"Challenge:
Our client used a lot of different systems to make quotations and to respond to enquiries. Apart from the time lost, this also made cost calculations and inventory management very complex. In addition, the quantity of files grew larger and larger, and analysing them became almost impossible.
In addition, the business is active Europe, Australia, and China, and it was very difficult to grasp the sales status of the business
Solution:
Import Sales Cloud, formulate the sales process, customize the SCM module and cost module, open a channel for suppliers to log in to the quotation, and the price will eventually return to the cost module, and the final quotation will be output to the customer after calculation
Result:
Reduced internal work time and labor costs. Managers effectively use the dashboard to manage the weekly sales status of the business. For the business, they can manage transactions with customers in Salesforce.","Challenges:
該企業為國際貿易公司，時常使用Excel製作報價單、詢價單，且需要計算成本，管理庫存等等，久而久之檔案龐大、不易管理。
一方面業務分布歐洲、澳洲、中國各大區域，很難掌握業務的銷售狀況
Solution:
導入Sales Cloud，制定銷售流程，客製化SCM模組、成本模組，開放一個渠道給供應商登入報價，價格最終回到成本模組，經過計算後產出最終報價給客戶
Result:
減少了內部作業時間、人力成本，管理者有效利用儀表板管理業務每周的銷售狀況，對於業務，可以在Salesforce管理與客戶的往來活動",,Yes
TheBagBroker Prestashop,Corrado,"B2B, B2C, E-commerce, Food, Manufacturing, Retail","B2B, B2C, ERP, Website, eCommerce","AWS, Design, Membership system, Prestashop",,Yes,B2B,"Australia, China, Germany, Taiwan, United Kingdom",https://www.thebagbroker.com,,,,"Our client is an international B2B vendor with operations in Asia, Europe, Australia and the Middle East. The project entailed re-building their various E-commerce platforms using a unified technology and backend, and integration with CRM, ERP and accounting systems",我們的客戶是一家在亞洲、歐洲、澳大利亞和中東都有拓展業務的國際型 B2B 供應商。該專案需要協助重建電子商務平台，並且導入CRM、ERP等系統。,"Challenge:
The design was challenging as it needed to accommodate many languages and cultures. In addition, the languages setup (8 languages total) needed to be perfect in order to assure that the SEO works worldwide
Solution: we chose a system which specialises in a multitude of languages, and spent time working with the international client teams to find a common ground for the design
Result: the project was delivered in 4 months and worked seamlessly from day 1","Challenges 挑戰/ 主要問題: 該設計具有挑戰性，因為它需要能適應多達8種的語言，以確保能優化SEO效能 。
Solution 解決方案/ 導入過程: 我們選擇了一個專門處理多種語言的系統，並密切與國際客戶團隊合作，確保設計能符合客戶的需求。
Result 成效: 專案在 4 個月內交付，並且完全符合客戶的需求。","April 1, 2020",Yes
THSR,Alan,"Logistics, Media & Entertainment, Travel","APP, CMS","JAVA, PHP, Wordpress",Alan Feng,Yes,https://4idps.com/wp-admin/post.php?post=3806&action=edit,Taiwan,https://apps.apple.com/us/app/tlife台灣高鐵車上刊物/id964701017#?platform=iphone,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8711.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8713.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8712.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8714.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8715.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8716.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/IMG_8717.png",Our client is a large private company providing high speed railway transportation services. We developed their 2nd generation news platform,該客戶是台灣一家提供高速鐵路運輸服務的公司，委託我們為他們開發新聞平台。,"Challenges: working with a very large public-private partnership with a high level of security meant that we had to perform much of the work in our client's offices as the servers are not accessible from outside. This meant that we could not afford coding mistakes, as the time for debugging was limited.
Solution: We discussed the approach in our internal team meetings and made sure that our engineers knew exactly what to do once they started work on our client's office
Result: The project was delivered to everyone's delight, and is still very much in operation after many years","Challenges 挑戰/ 主要問題: 與大型的公眾運輸公司合作意味著我們必須在客戶的辦公室執行大部分工作，因為Server是無法從外部連接的。這也意味著我們必須要確保所寫下的程式碼，必須正確無誤。
Solution 解決方案/ 導入過程: 我們在內部團隊會議上討論開發的流程，並確保我方工程師能在最短的時間內理解各階段開發需求。
Result 成效: 專案按時按質交付，並持續在線上供客戶使用。",,Yes
TLCETW(太隆興業),Amos,Manufacturing,"Internal, Salesforce","Apex, Visualforce",Amos Chuang,Yes,https://4idps.com/wp-admin/post.php?post=3814&action=edit,Taiwan,,Amos Chuang,Amos Chuang,,Our client is a well-established construction company. The purpose of the project was to integrate Sales Cloud to optimize sales quotes processing and reduce operating loss.,客戶是一家相當知名的建築公司。我們受委託開發報價分析模組，計算建材的成本、利潤，最終提供報價給業主,"Challenge:
The company is a construction company and often uses Excel operations to calculate the total project cost, which is time-consuming and labor-intensive. In addition, the quotation process is complicated, customer/owner information is  incomplete, and there is no unified management method
Solution:
Imported Sales Cloud, formulated the project sales and quotation process, and developed a quotation analysis module to calculate the cost and profit of building materials, and finally provide the quotation to the owner
Result:
Drastically reduced internal operation time and labor costs, quick and accurate quotations, and increased profitability. The company also has the first database to store customer and project data","Challenges:
該企業為建商，時常使用Excel作業計算專案總成本，耗時費工，業務雜亂的報價流程，客戶(業主)資料也不齊全，沒有統一的管理方式
Solution:
導入Sales Cloud，制定了專案銷售、報價流程，並開發報價分析模組，計算建材的成本、利潤，最終提供報價給業主
Result:
減少了內部作業時間、人力成本，並可以精準地提供報價、減少營業損失，企業也擁有了第一個資料庫，存放客戶、專案資料",,Yes
Transportr,,"Logistics, Social Media, Start-ups","B2B, Business Model Consulting",Invision App,,No,,Jamaica,https://projects.invisionapp.com/d/main#/console/17013400/355926704/preview,,,,Our client is a start-up that wishes to develop a new crowd logistics solution. The goal was to define the project specs.,,"Challenge:
As in most start-up projects, the biggest challenge is to properly define an MVP which is both really useful, and reasonably simple and cheap to execute
Solution:
We put a full stack app developer on the project, who knew how to get which part done. Together with an experienced UI/UX designer he cut out a lot of functionalities that could be done in a later phase, and made the project faster and cheaper
Result:
The project was delivered to the client at his full satisfaction and on time",,"March 15, 2019",Yes
True Beauty,Corrado,"Fashion&Beauty, Media & Entertainment","Maintenance, Service","Design, Digital Publishing",Alan Feng,No,,Taiwan,https://www.beauty321.com,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.43.49_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.44.01_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.44.13_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.44.38_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.44.57_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-05_at_4.45.27_PM.png",Our client is a leading fashion magazine for women in their 30's. The goal of this project was to produce their interactive magazine for the iPad / iPhone,我們客戶出版的時尚雜誌在30多歲的年輕女性族群中擁有相當高的市佔率。這個專案的目標是為他們製作 iPad / iPhone版的互動雜誌,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was highly successful in the marketplace and enjoyed extremely high download rates","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上很成功，下載率也很高。",,Yes
UKEAS,Corrado,"E-commerce, Education","Team augmentation, Website",,Alan Feng,No,,"Philippines, Taiwan, United Kingdom",,,,,Our client is a leading international education group. The project entailed the creation of a new website using client's existing technology,我們的客戶是一家領先的國際教育組織。 該專案需要使用客戶現有技術並建構一個新網站,"Challenges:
It was important to work closely with the client, as they had people working internally on other aspects of the same project
Solution: We made sure to have constant communication with the client teams
Result: The site went online on time to the client's full satisfaction.","Challenges 挑戰/ 主要問題: 與客戶密切合作很重要，因為他們同時有其他內部人員在同一專案上協作。
Solution 解決方案/ 導入過程: 我們確保與客戶團隊的密切溝通與合作。
Result 成效: 網站在時程內交付上線，客戶非常滿意",,Yes
Urbanedge,Corrado,Real Estate,APP,,Alan Feng,No,,China,,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/%E5%85%A7%E9%A0%81%E6%8F%90%E6%A1%88.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/open-iphone3.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Home_3.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/2014_06_02_%E9%A0%82%E7%94%9F%E6%B4%BB_-_%E5%B0%81%E9%9D%A21.pdf, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Urbanedge_logo.png",Our client is a China-based real estate development company. The project entailed building an app to interactively publish and promote our client's news and projects for sale,客戶是一家中國房地產開發公司，專案需要開發一款APP以發布和推廣客戶的新聞和待售的物件。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was highly successful in the marketplace and enjoyed high download rates","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 客戶的雜誌在市場上很成功，下載率也很高。",,Yes
Vision Media,Corrado,Media & Entertainment,APP,,,No,,Taiwan,https://www.v-media.com.tw,,,,"Our client is a leading publisher of travel magazines. We were asked to produce interactive editions of several of their monthly travel magazines in English, Chinese, Korean and Japanese for the iPad / iPhone",客戶是一家旅遊雜誌出版商。我們需要協助將月刊製作成互動電子雜誌，語言包含有英文、中文、韓文和日文。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazines were highly successful in the marketplace and enjoyed high download rates","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 雜誌在市場上很成功，下載率也很高。",,Yes
Volvo,Amos,Automotive,Salesforce,,Amos Chuang,Yes,Automobile Manufacturers,Taiwan,,Amos Chuang,,,"Our client is one of the world’s leading automobile manufacturers. The goal of this project was to integrate Salesforce and LINE (which has the highest penetration rate among instant messaging services in Taiwan), to push promotional messaging and increase sales.",我們的客戶是世界領先的汽車製造商之一。這個專案的目標是整合Salesforce和LINE BOT（台灣即時通訊服務中滲透率最高的），推動促銷訊息和增加銷售額。,"Challenge:
The company is a world-renowned automotive company. Line is the leading social media platform in Taiwan, so our client wanted to use the new technology Line OA 2.0 to improve sales performance and service quality.
Solution:
Line BOT was integrated with Salesforce. Salespeople can use the system to book cars, test drives and other functions, and push preferential messages to potential customers. They also provide online customer service, scheduled maintenance, road rescue and other services.
Result:
Increased operating income and improved service quality","Challenges:
該企業為全球知名汽車產業，在台灣，Line的滲透率非常之高，所以他們想利用新科技 Line OA 2.0 來提升銷售業績、服務品質
Solution:
Line BOT與Salesforce整合，在銷售方面，企業想利用此Line開放預約賞車、試駕等功能並推播優惠訊息給潛在客戶，服務方面提供線上客服、預約保養、道路救援等服務
Result:
提升營業收入、提高服務品質",,Yes
WenetGroup,Jerry,Consulting,"Internal, Website","JAVA, MSSQL, REST, React",Faust Liu,No,,Taiwan,,Wunhow Chien,"Frank Wang, Alan Feng, Brian Yu, Wunhow Chien, Weng Steven, Eva Lin",,"Our client is Taiwan's leading business consulting firm. The project is to build a flow management system to allow users from Sales, Project Management, and other teams to review all sales opportunities. ","客戶是在台灣領先的商業諮詢公司。
我們需要打造一個流程管理系統，讓銷售、專案管理管理和其他團隊的用戶可以查看所有銷售機會。","Challenges: The spec definition for this project is very challenging as users are from various business units with different roles, not to mention the complicated internal procedures. 
Solution: We worked closely with the client's project and user teams to do a very detailed system analysis. 
Result: The project was delivered in 9 months, and is still in operation. ","Challenges 挑戰/ 主要問題: 專案的規範定義非常具有挑戰性，因為用戶來自不同的業務部門，角色也不同之外，內部程序也相當複雜。
Solution 解決方案/ 導入過程: 我們與客戶的專案及用戶團隊密切合作，進行了非常詳細的系統分析。
Result 成效: 專案在9個月內交付，目前仍在運營當中。",,Yes
World Screen,Corrado,Media & Entertainment,APP,,Alan Feng,No,,Taiwan,https://www.worldscreen.com.tw/index.php,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/%E4%B8%96%E7%95%8C%E9%9B%BB%E5%BD%B1%E9%9B%9C%E8%AA%8Clogo.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/%E4%B8%96%E7%95%8C%E9%9B%BB%E5%BD%B1.jpg, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Image-1%201.png",Our client is Taiwan's leading movie portal. The project entailed building an app for their interactive movie magazine,客戶是台灣領先的電影網站。 我們需要為他們的電影雜誌開發一個APP。,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was highly successful in the marketplace and enjoyed high download rates","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上很成功，下載率也很高。",,Yes
Yuken,Jerry,"Consulting, Manufacturing","B2B, Business Model Consulting",,,Yes,https://4idps.com/wp-admin/post.php?post=3847&action=edit,Taiwan,https://www.yuken.me/,,,,"Our client provides Mechanical Installation, and related consulting and maintenance services. The project is help them do a feasibility assessment and also design the software architecture.",該客戶提供各類機械安裝外，還有相關的諮詢、維護等服務。我們需要幫助他們進行可行性評估並設計全新的軟體架構。,"Challenges: This project is related to the railway measurement in which the integration of mechanical and electronic applications was totally new to our team.  
Solutions: We assigned 2 senior experts and worked very closely with the client. The client and our team shared their respective expertise and successfully completed the project. 
Result: Our client is working on a large project with Taiwan Rail Road Corp. with the technical architecture designed by our team.","Challenges 挑戰/ 主要問題: 專案涉及鐵路測量，因此對於機械和電力的整合應用對我們而言是全新的應用。
Solution 解決方案/ 導入過程: 我們指派了 2 名資深專家與客戶密切合作，在與客戶進一步了解並學習該領域專業知識後，成功地完成了專案。
Result 成效: 客戶目前正與台灣鐵路公司合作，且使用我們團隊所設計的技術架構進行實際項目。",,Yes
YunJiang (運匠),Faust,"B2C, Logistics","APP, B2C, Website","React, ReactNative",Faust Liu,No,,Taiwan,https://www.newtwyunjiang.com/?gclid=EAIaIQobChMI5sia9Ymi7AIVR66WCh35TgYrEAAYAyAAEgI74_D_BwE,Julia Wang,Eva Lin,,"Our client is a freight consolidator, and the goal of this project is to develop an app as a platform for tracking online receipt registration and related fees.",YunJiang 是集運廠商，專案主要是建立一個線上收件登記並紀錄收件費用的平台。,"Challenges:
Project management was challenging due to widely distributed teams with different and sometimes changing expectations.
Solution:
Work with prototypes early on, and develop the functionalities only after confirming the customer needs. We further invited users to provide comments and adjust the UI/UX during the development period.
Result:
The product matches our client's needs and is being used widely","Challenges:
集運使用者年齡層分布較廣，操作習慣較不易掌握。
Solution:
製作Prototyping與客戶確認後進行開發，測時期間邀請使用者提供意見調整UI/UX。
Result:
貼近實際使用者需求的設計，讓專案能順利上線。",,Yes
Z-Consulting,Corrado,,"Personal, Website",Wix,Corrado von Planta,No,,Switzerland,https://www.z-consulting.biz,,Eva Lin,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_7.11.34_PM.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/Screen_Shot_2021-08-04_at_7.12.58_PM.png","Our client is a Swiss entrepreneur and businessman, and the goal of the project was to build a personal website as a way to keep in touch with contacts and as a platform",Z-Consulting是由一名瑞士企業家和商人所創立，我們需要協助其建立個人網站，作為一個與聯繫人保持聯繫的平台。,"Challenge: Our client is a businessman and sports enthusiast, and those 2 aspects needed to be highlighted succinctly
Solution: We worked closely with this client in an effort to make sure that the style reflects his personality
Result: the website has been online for many years and has gained more traction than expected","Challenges 挑戰/ 主要問題: 我們的客戶是商人也是體育愛好者，因此網站在這兩個方面需要簡明扼要地凸顯出來
Solution 解決方案/ 導入過程: 我們與客戶密切合作，以確保風格反映他的個人特色
Result 成效: 該網站已上線多年，並且在市場上獲得了極大的關注",,Yes
Zeek,Corrado,Media & Entertainment,APP,,,No,,Taiwan,https://zeekmagazine.com,,,"Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/ZEEK-icon.png, Project%20Show%20Cases%2032374312325941f5b65c353869e5b7f1/ZEEK.jpg","Our client is Taiwan's leading interactive Apple lifestyle magazine. The project entailed developing and maintaining the app, as well as the production of their monthly issues",客戶是專門出版Apple 電子雜誌。我們需要協助開發及維護該APP，以及製作他們的月刊,"Challenges:
1. The frequency of a monthly magazine means that designers need to produce the pages very fast.
2. The design needed to be optimised for both iPad and iPhone, which meant that 2 designs were produced of the entire magazine
Solution: We built an entire design team around our digital publishing activities, which was more than able to help our client have a great design, and quick turnaround time
Result: Our client's magazine was highly successful in the marketplace and enjoyed high download rates","Challenges 挑戰/ 主要問題: 1.由於雜誌每月出刊，因此設計師需要非常快速地製作頁面。 2.設計需要同時針對iPad和iPhone進行優化，因此我們針對整個雜誌製作了2個設計
Solution 解決方案/ 導入過程: 我們投入經驗豐富的設計團隊，以期能夠提供我們的客戶獲得高品質的設計和更加快速的設計整備時間。
Result 成效: 我們客戶的雜誌在市場上很成功，下載率也很高。",,Yes
